Date,Topic,Slides,Reference
2 Aug 18,Logistics & Introduction to OS,,Chapter 2
,"Processes, Process API,",,"Chapter 4, 5"
,Direct execution,,"Chapter 6, 7"
,,,"Chapter 8, 9"
,,,Quiz 1
,,,"Chapter 13, 14"
,,,"Chapter 15, 16"
,,,"Chapter 17, 18"
,,,"Chapter 19, 20"
,,,"Chapter 21, 22"
,,,Quiz 2
,,,"Chapter 26, 27"
,,,"Chapter 28, 29"
,,,"Chapter 30, 31"
,,,"Chapter 32, 33"
,,,Quiz 3
,,,"Chapter 36, 37"
,,,"Chapter 38, 39"
,,,"Chapter 40, 41"
,,,"Chapter 42, 43"
,,,"Chapter 44, 45"
,,,Quiz 4
